CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
64587702,2023-03-01,ANCURY DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,199101,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
67600379,2023-03-01,ANDBANK DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,199207,N2,I,3,Sociedade Distribuidora de TVM,,SP,São Paulo,S4,C0051949,C0081256,48795256,A
27847326,2023-03-01,ANGRA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,198212,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
62185426,2023-03-01,ANTONIO ARY AVANCINI MENDES INTERMEDIADOR TITULOS VALS MOBS,196804,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
92666494,2023-03-01,ANTONIO DELAPIEVE S/A CORRETORA DE CAMBIO E VALORES MOBIL.,196711,N2,I,2,Sociedade Corretora de TVM,,RS,Porto Alegre,,,,,I
33433780,2023-03-01,ANTONIO RUSSO DISTRIBUIDOR DE TITULOS E VALORES MOBILIARIOS,196802,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
00312678,2023-03-01,APA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196910,N2,I,2,Sociedade Distribuidora de TVM,,DF,Brasília,,,,,I
39133129,2023-03-01,APAR-DISTRIBUIDORA DE TIT E VALORES MOBILIARIOS LTDA,199104,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
62549068,2023-03-01,APICE - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196810,N2,I,2,Sociedade Distribuidora de TVM,,SP,Santos,,,,,I
36210052,2023-03-01,APLICAP S.A. CORRETORA DE VALORES MOBILIARIOS,199008,N2,I,2,Sociedade Corretora de TVM,,RJ,Rio de Janeiro,,,,,LO
